"key","value","display_string","unit","source_script","note"
"model_oos_spearman","0.788415","0.788","Spearman rho (mean)","R/50_tree_vs_regression.R","mean over 200 splits, seed 6093"
"benchmark_oos_spearman","0.703112","0.703","Spearman rho (mean)","R/50_tree_vs_regression.R","subway ridership alone, same splits"
"model_beats_benchmark_share","0.955","96%","share of splits","R/50_tree_vs_regression.R","191 of 200 splits. Canonical wording: '96% of 200 splits'"
"n_oos_splits","200","200","splits","R/50_tree_vs_regression.R","random 70/30 train/test splits"
"tree_oos_spearman","0.720048","0.720","Spearman rho (mean)","R/50_tree_vs_regression.R","unpruned decision tree"
"tree_beats_benchmark_share","0.61","61%","share of splits","R/50_tree_vs_regression.R",""
"regression_beats_tree_share","0.9","90%","share of splits","R/50_tree_vs_regression.R",""
"model_seed_range","0.784108; 0.790686","0.784–0.791","Spearman rho range","R/A3_seed_stability.R","six seeds x 200 splits; benchmark 0.697–0.705; wins 94%–96%"
"model_oos_spearman_20_regression","0.785685","0.786","Spearman rho (mean)","R/20_regression.R / A3 seed 6093","NOT canonical: same model, different splits. Quote only when explaining 20_regression.R output"
"benchmark_fullsample_spearman","0.707096","0.707","Spearman rho","R/11_benchmark.R -> model_nta_benchmark_20260920.csv","all 197, no split; subway ridership"
"oneliner_unserved_fullsample_spearman","0.488833","0.489","Spearman rho","R/11_benchmark.R -> model_nta_benchmark_20260920.csv","ridership at stations with no restroom within 400 m"
"n_neighbourhoods_modelled","197","197","NTAs","R/20_regression.R","residential NTAs (ntatype 0)"
"ntas_ratio_ge_1_5","29","29","NTAs","R/20_regression.R -> model_nta_scored","observed/predicted >= 1.5"
"max_ratio","3.84776","3.85","ratio","R/20_regression.R","Brighton Beach"
"brighton_beach_expected_ratio","6.2374; 3.84776","24 observed, 6.2 expected, 3.85×","count / ratio","R/20_regression.R","worked example on the site. Ratio is 3.8478: at one decimal it is 3.8×, NOT 3.9× (3.9 comes from rounding the rounded 3.85). Prefer two decimals"
"east_harlem_ratio","2.99565","3.00","ratio","R/20_regression.R","99 observed, 33.0 expected, 7 restrooms"
"null_nb_mean_ntas_ge_1_5","33.774","33.8","NTAs (mean of 500 sims)","R/A1_noise_floor.R","NB null (areas do differ by the estimated spread)"
"posterior_gt_0_95_n","6","6","NTAs","R/A6_empirical_bayes.R","P(true relative risk > 1.5) > 0.95: East Harlem (North); Astoria (East)-Woodside (North); East Elmhurst; Williamsbridge-Olinville; Brighton Beach; Midtown-Times Square"
"posterior_gt_0_95_names","East Harlem (North); Astoria (East)-Woodside (North); East Elmhurst; Williamsbridge-Olinville; Brighton Beach; Midtown-Times Square","East Harlem (North); Astoria (East)-Woodside (North); East Elmhurst; Williamsbridge-Olinville; Brighton Beach; Midtown-Times Square","names","R/A6_empirical_bayes.R","ordered by posterior probability"
"posterior_near_miss","East Flatbush-Rugby; 0.948","East Flatbush-Rugby 0.948","posterior probability","R/A6_empirical_bayes.R","first area below 0.95"
"posterior_loo_survivors","7","7 of 7","NTAs","R/A6_empirical_bayes.R","top 7 re-scored leave-one-out (model and prior refit)"
"restrooms_register_total","1066","1,066","facilities","data_raw/nycrestrooms_i7jb-7jku","all rows on the register"
"restrooms_operational","975","975","facilities","data_raw/nycrestrooms_i7jb-7jku","status == Operational. The Council dashboard's 973 is an EXTERNAL figure (see external)"
"restrooms_operational_year_round","843","843","facilities","data_raw/nycrestrooms_i7jb-7jku","Operational & open == Year Round"
"restrooms_operational_seasonal","132","132","facilities","data_raw/nycrestrooms_i7jb-7jku","operational but seasonal"
"restrooms_not_operational","91","91","facilities","data_raw/nycrestrooms_i7jb-7jku","register minus operational"
"hours_placeholder_year_round","525","525","facilities","R/80_corrections.R §3","62.3% of year-round operational carry the placeholder string"
"hours_genuine_year_round","318","318","facilities","R/80_corrections.R §3","year-round operational with real hours. NB outputs/hub_open_access.json reports 316 'parsed_explicit' on a different base (all 975 operational, placeholder AND unparseable excluded)"
"open_24h","8","8","facilities","R/80_corrections.R §4","our register, derived. The earlier published 9 counted an NA; the Council dashboard's '8 open 24/7' is an external figure that happens to agree"
"open_after_11pm_saturday","20","20","facilities","R/80_corrections.R §4","close after 23:00 on Saturday (day 7). 35 close at or after 23:00; earlier published 21"
"outcome_raw_urination","7926","7,926","complaints","data_raw/nyc311_urination_*","Urinating in Public, 2020-2026"
"outcome_public_places","4706","4,706","complaints","notes/outcome_count_reconciliation.md","public location types"
"outcome_dedup_coords","3629","3,629","complaints","notes/outcome_count_reconciliation.md","one per address-month, coords required (citywide)"
"outcome_modelled","3556","3,556","complaints","R/20_regression.R","inside the 197 residential NTAs"
"top1pct_address_share","0.223119","22.3%","share of complaints","data_raw/nyc311_urination_*","top 31 of 3,019 addresses (ceiling of 1%), public-place complaints before dedup"
"east_harlem_dedup","223; 384","223 of 384","complaints","data_raw/nyc311_urination_*","community board 11 Manhattan, raw public-place counts; five addresses: 226 EAST  122 STREET | 227 EAST  122 STREET | 225 EAST  122 STREET | 224 EAST  122 STREET | 216 EAST  122 STREET"
"parks_fail_2024","0.0847914","8.5%","share of rated inspections","R/A8_condition_trend.R","Jan-Jun matched window"
"parks_fail_2026","0.200577","20.1%","share of rated inspections","R/A8_condition_trend.R","Jan-Jun matched window (data end 28 Jun 2026)"
"parks_fail_fe_2026_vs_2024","0.113548","+11.4 pp","percentage points","R/A8_condition_trend.R","facility fixed effects, SE 2.0 pp clustered by facility, p = 1.5e-08"
"parks_acceptable_2024_2026","0.712788; 0.568205","71.3% -> 56.8%","share of all inspections","R/A8_condition_trend.R","open AND acceptable"
"parks_inspections_n","31768","31,768","inspections","R/A8_condition_trend.R",""
"build_new_median","4000000","$4.0M","USD","R/A7_repair_vs_build.R","n=68 capital-tracker projects; also shown as $4,000,000"
"reconstruct_median","1656500","$1.66M","USD","R/A7_repair_vs_build.R","n=108; also $1,656,500"
"component_median","357000","$357,000","USD","R/A7_repair_vs_build.R","n=5 only — too thin to price a programme"
"pooled_project_median","2331000","$2,331,000","USD","R/A2_cost_bands.R","all 191 restroom projects, banded rows valued at band midpoint"
"programme_capex_total","24052000","$24.1M","USD","R/60_cost_layer.R -> model_nta_interventions","cheapest fix per shortlisted NTA; hours counted as $0 CAPITAL (see hours_extension_*)"
"intervention_mix","Build new / modular unit=9; Extend operating hours=10; Monitor / already served=2; Reconstruct or repair=8","Build new / modular unit 9; Extend operating hours 10; Monitor / already served 2; Reconstruct or repair 8","NTAs","R/60_cost_layer.R",""
"unit_in_all_shortlist","34800000","$34.8M","USD","R/60_cost_layer.R","29 x $1,200,000 modular — $1.2M = NYC Parks pilot budget per unit (see modular_unit_cost_in_code)"
"modular_unit_cost_in_code","1200000","$1.2M","USD","R/60_cost_layer.R, R/61_cost_annualised.R","SOURCED 2026-09-23: NYC Parks' $6M five-unit Portland Loo pilot = $1.2M/unit budgeted (reported outturn ~$1.0M/site: $185k unit + ~$815k utilities/site work). See external.modular_portland_loo. Compare modular_pilot_implied_per_unit_year (service contract, not capital)"
"shortlist_annual_cost_total","2127670","$2.13M","USD per year","R/61_cost_annualised.R -> model_shortlist_costed","modular + reconstruction annualised over 20 yr at the central rate; hours at the labelled wage assumption"
